LGA,facility_type_needed,num_new_facilities_required,avg_time_BEFORE,avg_time_AFTER,proposed_locations
Obio/Akpor,fire_disaster,5,9.79,6.9,"[(4.839261625111869, 7.029141009575263), (4.841333284001692, 7.0295926585818185), (4.840325987843715, 7.029158281010227), (4.840325987843715, 7.029158281010227), (4.840325987843715, 7.029158281010227)]"
Ogba/Egbema/Ndoni,fire_disaster,5,77.81,23.53,"[(5.294607150567908, 6.656487350639082), (5.294607150567908, 6.656487350639082), (5.294607150567908, 6.656487350639082), (5.294607150567908, 6.656487350639082), (5.294607150567908, 6.656487350639082)]"
Ogu/Bolo,fire_disaster,3,57.8,0.47,"[(4.6757329057083465, 7.199477360690618), (4.693212225601218, 7.20413887759279), (4.695356155844689, 7.203398437180673)]"
Okrika,fire_disaster,2,46.33,0.0,"[(4.681233179192027, 7.121772760369875), (4.71990050067308, 7.136506753988594)]"
Omumma,fire_disaster,5,68.37,18.79,"[(5.105097416184049, 7.232553692003649), (5.105097416184049, 7.232553692003649), (5.105097416184049, 7.232553692003649), (5.105097416184049, 7.232553692003649), (5.105097416184049, 7.232553692003649)]"
Opobo/Nkoro,fire_disaster,5,119.92,18.98,"[(4.501994045888976, 7.4939170318470145), (4.501994045888976, 7.4939170318470145), (4.501994045888976, 7.4939170318470145), (4.501994045888976, 7.4939170318470145), (4.501994045888976, 7.4939170318470145)]"
Oyigbo,fire_disaster,5,40.19,23.12,"[(4.852919819413596, 7.168296248867999), (4.852919819413596, 7.168296248867999), (4.852919819413596, 7.168296248867999), (4.852919819413596, 7.168296248867999), (4.852919819413596, 7.168296248867999)]"
Port Harcourt,fire_disaster,5,7.15,6.08,"[(4.807115719189406, 7.024411983491958), (4.805621426413836, 7.020780591862755), (4.805621426413836, 7.020780591862755), (4.805621426413836, 7.020780591862755), (4.805621426413836, 7.020780591862755)]"
Tai,fire_disaster,5,55.76,13.81,"[(4.736779061618176, 7.26350956074312), (4.736779061618176, 7.26350956074312), (4.736779061618176, 7.26350956074312), (4.736779061618176, 7.26350956074312), (4.736779061618176, 7.26350956074312)]"
Abua/Odual,security,2,18.59,2.99,"[(4.915034896953015, 6.545680888600506), (4.859120794947928, 6.517751536149164)]"
Ahoada East,security,5,43.49,20.54,"[(5.0617124796090955, 6.6306785970107915), (5.0617124796090955, 6.6306785970107915), (5.0617124796090955, 6.6306785970107915), (5.0617124796090955, 6.6306785970107915), (5.0617124796090955, 6.6306785970107915)]"
Ahoada West,security,5,32.77,16.47,"[(5.1263630622534615, 6.516028848627079), (5.1263630622534615, 6.516028848627079), (5.1263630622534615, 6.516028848627079), (5.1263630622534615, 6.516028848627079), (5.1263630622534615, 6.516028848627079)]"
Akuku-Toru,security,1,76.31,0.16,"[(4.514277269327625, 6.739714148527604)]"
Andoni,security,5,28.34,27.68,"[(4.546732172121615, 7.397917818213557), (4.546732172121615, 7.397917818213557), (4.546732172121615, 7.397917818213557), (4.546732172121615, 7.397917818213557), (4.546732172121615, 7.397917818213557)]"
Asari-Toru,security,2,54.58,3.2,"[(4.762764820115388, 6.820626963367196), (4.714971907671893, 6.835569386731105)]"
Bonny,security,5,37.98,37.98,"[(4.524163472472197, 7.185744562206673), (4.524163472472197, 7.185744562206673), (4.524163472472197, 7.185744562206673), (4.524163472472197, 7.185744562206673), (4.524163472472197, 7.185744562206673)]"
Degema,security,2,50.21,2.98,"[(4.541163303369121, 6.907605088213462), (4.482256406395929, 6.864707957413498)]"
Eleme,security,5,19.44,9.42,"[(4.807960187836221, 7.140642366837486), (4.817309268553469, 7.135500570282077), (4.817309268553469, 7.135500570282077), (4.817309268553469, 7.135500570282077), (4.817309268553469, 7.135500570282077)]"
Emuoha,security,5,56.47,26.04,"[(4.95961654581401, 6.773867834526697), (4.960636237865824, 6.781332483612826), (4.960636237865824, 6.781332483612826), (4.960636237865824, 6.781332483612826), (4.960636237865824, 6.781332483612826)]"
Etche,security,5,19.87,11.19,"[(4.8930528116489675, 7.051477819539364), (4.922152192763485, 7.039858054987323), (4.955538739189342, 7.033962517910851), (4.955538739189342, 7.033962517910851), (4.955538739189342, 7.033962517910851)]"
Gokana,security,2,16.44,2.04,"[(4.666727204648218, 7.264479388475412), (4.632986589772367, 7.238327732575372)]"
Ikwerre,security,5,45.36,18.78,"[(5.038098825968853, 6.909516887124927), (5.038098825968853, 6.909516887124927), (5.038098825968853, 6.909516887124927), (5.038098825968853, 6.909516887124927), (5.038098825968853, 6.909516887124927)]"
Khana,security,5,35.92,13.99,"[(4.69249709066164, 7.426656968499756), (4.686745474589259, 7.400988713417883), (4.686745474589259, 7.400988713417883), (4.686745474589259, 7.400988713417883), (4.686745474589259, 7.400988713417883)]"
Obio/Akpor,security,5,5.67,5.56,"[(4.836976690457107, 7.029184095666111), (4.835662396536481, 7.029503635953043), (4.835662396536481, 7.029503635953043), (4.835662396536481, 7.029503635953043), (4.835662396536481, 7.029503635953043)]"
Ogba/Egbema/Ndoni,security,5,113.29,13.9,"[(5.422681721654013, 6.6874030511458145), (5.411023493549958, 6.689197728804591), (5.411023493549958, 6.689197728804591), (5.411023493549958, 6.689197728804591), (5.411023493549958, 6.689197728804591)]"
Ogu/Bolo,security,5,24.23,18.3,"[(4.657870279155346, 7.190327121785933), (4.64551145714339, 7.180109580148436), (4.64551145714339, 7.180109580148436), (4.64551145714339, 7.180109580148436), (4.64551145714339, 7.180109580148436)]"
Okrika,security,2,30.23,1.29,"[(4.716196814538957, 7.130093742330916), (4.73922745069141, 7.130398253324265)]"
Omumma,security,1,63.62,6.55,"[(5.124893343560218, 7.190463208105669)]"
Opobo/Nkoro,security,5,39.15,26.33,"[(4.5071642602953546, 7.496357765741863), (4.5071642602953546, 7.496357765741863), (4.5071642602953546, 7.496357765741863), (4.5071642602953546, 7.496357765741863), (4.5071642602953546, 7.496357765741863)]"
Oyigbo,security,5,16.22,10.77,"[(4.847951181292878, 7.118701141991894), (4.859783231221574, 7.16923460629813), (4.859783231221574, 7.16923460629813), (4.859783231221574, 7.16923460629813), (4.859783231221574, 7.16923460629813)]"
Port Harcourt,security,5,6.31,5.39,"[(4.801212381108538, 7.0278935464744166), (4.801212381108538, 7.0278935464744166), (4.801212381108538, 7.0278935464744166), (4.801212381108538, 7.0278935464744166), (4.801212381108538, 7.0278935464744166)]"
Tai,security,1,9.84,5.07,"[(4.775260721657981, 7.253546285977134)]"
Abua/Odual,transport,1,14.86,0.0,"[(4.78785037907666, 6.441917921947378)]"
Ahoada East,transport,2,63.63,11.21,"[(5.140218082373844, 6.643021471172719), (5.163782087362868, 6.702122478632847)]"
Ahoada West,transport,2,77.79,9.64,"[(5.038138172154403, 6.489662402105445), (4.940433627843765, 6.478696535218455)]"
Akuku-Toru,transport,1,10.89,1.9,"[(4.705733667088012, 6.678468026244424)]"
Bonny,transport,1,26.54,1.71,"[(4.518283188120433, 7.193867979159296)]"
Eleme,transport,1,21.42,4.47,"[(4.780604660206445, 7.150898577221322)]"
