incident_id,incident_category,optimal_time_mins
0,healthcare,0.0
1,healthcare,17.16159741697492
2,healthcare,27.806412423451146
3,fire_disaster,82.56136032716852
4,fire_disaster,76.21092335324666
5,fire_disaster,94.44755265678911
6,security,0.0
7,security,33.47283295564933
8,security,22.298234440193525
9,transport,22.28672795497815
10,transport,22.28672795497815
11,transport,0.0
12,healthcare,4.159597792388252
13,healthcare,5.188465054017194
14,healthcare,11.417569492995167
15,fire_disaster,68.24776939844931
16,fire_disaster,44.52700124994718
17,fire_disaster,68.24776939844931
18,security,31.3390953139442
19,security,54.9874417793312
20,security,44.13848158746501
21,transport,67.86143865839698
22,transport,47.57699387083183
23,transport,75.44256501724844
24,healthcare,45.156623929740505
25,healthcare,5.528667170766131
26,healthcare,19.418461175232256
27,fire_disaster,72.07013898312121
28,fire_disaster,54.68457698415158
29,fire_disaster,54.57583439660576
30,security,41.12728825912014
31,security,43.78172261371733
32,security,13.402786412415535
33,transport,63.770998196548376
34,transport,97.19635822204364
35,transport,72.39156426603593
36,healthcare,4.817245942022288
37,healthcare,28.59881405581138
38,healthcare,4.7385492332921535
39,fire_disaster,18.674885548612515
40,fire_disaster,18.596188839882377
41,fire_disaster,18.674885548612515
42,security,76.25855819278802
43,security,76.33725490151815
44,security,76.33725490151815
45,transport,26.96093508151845
46,transport,5.694811586908575
47,transport,0.0
48,healthcare,24.34035580043486
49,healthcare,15.70074354996375
50,healthcare,0.9300521406844416
51,fire_disaster,92.56313243420037
52,fire_disaster,88.21324296895709
53,fire_disaster,82.4074495988539
54,security,41.068855269674934
55,security,3.882442736948645
56,security,40.0734559383486
57,transport,1.0563972989827126
58,transport,7.7298285841597485
59,transport,2.9523905962642027
60,healthcare,4.42729952672622
61,healthcare,34.22944808783318
62,healthcare,35.73715247095107
63,fire_disaster,2.5913183419785994
64,fire_disaster,12.623103300908525
65,fire_disaster,22.187577719259753
66,security,51.232954710084435
67,security,61.268015905050724
68,security,51.232954710084435
69,transport,0.0
70,transport,3.1901975963199116
71,transport,1.0324674362622481
72,healthcare,32.60047852078157
73,healthcare,32.60047852078157
74,healthcare,34.159753428813424
75,fire_disaster,143.05139570557185
76,fire_disaster,143.05139570557185
77,fire_disaster,143.05139570557185
78,security,36.847104208824
79,security,40.23773590340109
80,security,36.847104208824
81,transport,39.6147670341026
82,transport,40.001308127568976
83,transport,0.0
84,healthcare,32.60047852078157
85,healthcare,35.73715247095107
86,healthcare,35.73715247095107
87,fire_disaster,47.93474967506162
88,fire_disaster,18.596188839882377
89,fire_disaster,18.596188839882377
90,security,65.43912914023365
91,security,8.935244501974411
92,security,76.25855819278802
93,transport,0.0
94,transport,0.0
95,transport,0.0
96,healthcare,10.364778190074544
97,healthcare,31.486648647703827
98,healthcare,15.215231198070388
